DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
DEU;BOG;107804;1111,64;4496039,09
ARM;BOG;50;0,5;2028,47
ARM;BOG;100;10;39806,7
ARM;BOG;70;7;27864,69
ARM;BOG;60;6;23884,02
ARM;BOG;11,73;15;59710,05
ARM;BOG;400;68;270306,12
ARM;BOG;8640;2678,4;10813209,69
ARM;BOG;400;74;301730,56
ARM;BOG;1800;331;1349632,64
ARM;BOG;560;1838,4;7474548,33
ARM;BOG;60;138;561079,02
ARM;BOG;970;155,2;617205,56
ARM;BOG;38505;5842,25;23233693,49
ARM;BOG;400;4;15907,36
ARM;BOG;2900;437,03;1773004,48
ARM;BOG;3950;579,56;2351240,14
ARM;BOG;200;64;258380,16
ARM;BOG;800;144;572412,96
ARM;BOG;1050;159,71;649347,32
ARM;BOG;2100;324,66;1319999,38
ARM;BOG;76;1,52;6171,42
ABW;BOG;1;76,3;303299,36
ABW;BOG;4;182;723466,38
ABW;BOG;240;10598;42128003,82
ABW;BOG;9;747,6;2971777,28
ABW;BOG;3;182,7;726248,94
ABW;BOG;2;127,4;506426,46
ABW;BOG;9;422,1;1677885,48
ABW;BOG;3;205,1;815290,95
ABW;BOG;33;2272,2;9032199,49
ABW;BOG;25;997,5;3965152,27
ABW;BOG;15;107,8;428514,7
ABW;BOG;1;18,2;72346,63
ABW;BOG;2842;799,24;3242468,72
ABW;BOG;2639;802,52;3255775,48
ABW;BOG;1734;898,76;3646215,39
ABW;BOG;184;705,23;2861075,79
ABW;BOG;1500;2858;11559209,58
ABW;BOG;2;7225;28720025,25
ABW;BOG;1;5054;20090104,86
ABW;BOG;600;3600;14363604
ABW;BOG;72,78;3947,76;15624326,09
ABW;BOG;106,13;5000,16;19789483,24
ABW;BOG;157,68;3616,56;14313512,67
ABW;BOG;204,9;9321;36890374,17
ABW;BOG;62,81;3663,84;14500636,03
ABW;BOG;10;3;12180,45
ABW;BOG;9868;6221,24;25116327,9
ABW;BOG;219;284,86;1150033,94
ABW;BOG;877;1139,43;4600095,4
ABW;BOG;1316;524,13;2116012,39
ABW;BOG;657;455,76;1839989,71
ABW;BOG;25655;5663,48;22864544,75
ABW;BOG;112;1737,62;7015102,08
ABW;BOG;9,6;4;16020,24
ABW;BOG;8,5;4;16020,24
ABW;BOG;25,9;8;32040,48
ABW;BOG;9,6;4;16020,24
ABW;BOG;4,8;2;8010,12
ABW;BOG;12,5;4;16020,24
ABW;BOG;11,5;2;8010,12
ABW;BOG;4325;1384;5627053,36
ABW;BOG;3280;1458,8;5931174,45
ABW;BOG;6160;1543,58;6231725,73
ABW;BOG;804;427,19;1724647,19
ABW;BOG;268;56,96;229958,34
ABW;BOG;536;113,92;459916,68
ABW;BOG;7767;1677,41;6772022,82
ABW;BOG;105;996,77;4024149,87
ABW;BOG;1;2002,7;8020933,66
ABW;BOG;90;183,91;741135,39
ABW;BOG;75;169,65;683459,16
ABW;BOG;252;549,14;2211128,88
ABW;BOG;29600;44565,66;178966386
ABW;BOG;1160;162,4;662844,5
ABW;BOG;5700;1896;7603896,36
ABW;BOG;1280;323,2;1316953,33
ABW;BOG;4850;2600;10443843,7
ABW;BOG;100;18;74118,78
ABW;BOG;2700;1313,7;5273260,34
ABW;BOG;255;149,7;613091,15
ABW;BOG;2584;2763,76;11073408,44
ABW;BOG;212;3741,96;15156033,89
ABW;BOG;30;61,31;250900,75
ABW;BOG;25;56,53;231339,41
ABW;BOG;84;183,06;749141,92
ABW;BOG;62,5;239;950046,51
ABW;BOG;2,05;22,54;89598,52
ABW;BOG;67,45;356,66;1417755,59
ABW;BOG;7,5;40,35;160394,88
ABW;BOG;1058,35;5149,63;20470242,69
ABW;BOG;9,54;61,31;244054,87
ABW;BOG;105,29;56,53;225027,27
ABW;BOG;26,72;183,06;728701,45
ABW;BOG;560,11;466202,01;1869878521
BIH;BOG;800;136;552947,44
BIH;BOG;400;59,56;242158,45
BIH;BOG;800;114,8;466752,69
BIH;BOG;39910;11157;44350079,13
BIH;BOG;11700;1404;5581026,36
AIA;BOG;1,91;1729,68;6885285,28
ATG;BOG;2;365,8;1465050,94
ATG;BOG;70;5254,58;21044908,17
ATG;BOG;232;4580,32;18344456,41
ATG;BOG;6;426,36;1707597,38
ATG;BOG;6;279;1117411,74
ATG;BOG;150;2057,7;8241211,96
ATG;BOG;20;879,78;3523571,68
ATG;BOG;116;4927,3;19734132,13
ATG;BOG;158;2353,34;9425267,9
ATG;BOG;41;2830,75;11337323,59
ATG;BOG;142;1393,66;5581691,91
ATG;BOG;6;114,9;460181,39
SAU;BOG;4968;3372,48;13801301,07
SAU;BOG;1400;900;3654135
SAU;BOG;4800;576;2329637,76
SAU;BOG;26619;20228,11;82469404,35
SAU;BOG;601,59;4409;17882805,69
SAU;BOG;120;484,8;1921538,73
SAU;BOG;46;271,86;1077536,14
SAU;BOG;40;183;725333,31
SAU;BOG;52,8;221,76;878961,28
SAU;BOG;81;249,75;989901,6
SAU;BOG;25;148,5;588590,14
SAU;BOG;56,61;290,45;1151218,9
SAU;BOG;20;90;356721,3
SAU;BOG;3180;2202,6;8942886,39
SAU;BOG;3934;3389,52;13606905,19
SAU;BOG;85;744;2968478,16
SAU;BOG;13450;4753,5;19573534,48
SAU;BOG;2400;456;1877675,76
SAU;BOG;300;96;395300,16
SAU;BOG;800;256;1054133,76
SAU;BOG;1290;1258,5;5182138,03
SAU;BOG;1000;334;1375315,14
SAU;BOG;1430;4050;16676725,5
SAU;BOG;1;13077,68;53323455,53
SAU;BOG;89;10548,5;42690939,83
SAU;BOG;10;7831,6;31131314,84
SAU;BOG;12960;65026,8;259449779,1
SAU;BOG;28;79,74;323756,36
SAU;BOG;10880;36259,91;147985018,3
SAU;BOG;90;398,25;1638515,99
SAU;BOG;300;753,92;3080696,8
SAU;BOG;98;129,2;524571,38
SAU;BOG;60;340,06;1399105,45
SAU;BOG;374,9;2007,39;8206320,45
SAU;BOG;76;262,51;1074211,38
SAU;BOG;2720;25845;104559259,1
SAU;BOG;7970;35930;142824983,7
SAU;BOG;1440;20640;82686729,6
SAU;BOG;2;3796;15089441,64
SAU;BOG;70;567,91;2292760,57
ARG;BOG;25480;2548;10099176,36
ARG;BOG;31650;9233,75;37787552,13
ARG;BOG;26200;5134;20726933,46
ARG;BOG;58800;10021,75;39837358,2
ARG;BOG;80;1210;4893857,1
ARG;BOG;150;5965;24410748,45
ARG;BOG;24,4;25290,43;102601757,1
ARG;BOG;6;7299,3;28931286,49
ARG;BOG;278;3414;14054038,26
ARG;BOG;441;5917,68;23890798,51
ARG;BOG;960;20723,2;83703340,03
ARG;BOG;4;2540,14;10173413,1
ARG;BOG;73;1328,41;5363043,56
ARG;BOG;9532,54;68658,82;279952219
ARG;BOG;3;4515,62;18230415,9
ARG;BOG;1;958,91;3880814,25
ARG;BOG;2;5905,73;23842554,09
ARG;BOG;4;619,5;2501039,2
ARG;BOG;1;199,5;805419,4
ARG;BOG;1,1;228,24;921448,24
ARG;BOG;1700;102;405459,18
ARG;BOG;10;63,2;255150,4
ARG;BOG;2;2,44;9850,74
ARG;BOG;10;2123,63;8573497,79
ARG;BOG;0,01;17,58;70973,8
ARG;BOG;126;7,56;30051,68
ARG;BOG;0,01;37,51;151434,99
ARG;BOG;24,05;1531,63;6183481,31
ARG;BOG;0,01;45,7;184499,58
ARG;BOG;0,04;0,48;1937,83
ARG;BOG;2;6746,78;27238032,74
ARG;BOG;1;20810;84013923,9
ARG;BOG;0,05;41,3;166735,94
ARG;BOG;0,1;40;159003,6
ARG;BOG;0,3;34,66;137776,61
ARG;BOG;0,04;75;298131,75
ARG;BOG;5;23,2;95530,87
ARG;BOG;4200;214,2;864046,38
ARG;BOG;13150;1788,4;7214101,57
ARG;BOG;400;306;1234351,98
ARG;BOG;14875;4418;17821460,94
ARG;BOG;6125;673,75;2717792,96
ARG;BOG;880;510,4;2058866,83
ARG;BOG;10120;2366;9557932,3
ARG;BOG;16975;1867,25;7688793,99
ARG;BOG;1;34,13;137789,29
ARG;BOG;10;133,8;540176,02
ARG;BOG;2;830,38;3352401,83
ARG;BOG;28;2584,15;10432704,53
ARG;BOG;1;239,55;967108,86
ARG;BOG;11;1450,07;5854208,1
ARG;BOG;1;2921,65;11795256,16
ARG;BOG;17;1116,93;4509258,62
ARG;BOG;3;212,04;856045,76
ARG;BOG;2;199,66;806065,35
ARG;BOG;5;2478,8;10144067,6
ARG;BOG;5000;24000;97068240
ARG;BOG;112000;3251,92;13307929,77
ARG;BOG;33,34;74,96;304771,61
ARG;BOG;124,8;92,43;375800,96
ARG;BOG;0,14;222,21;903459,19
ARG;BOG;238;923,44;3698432,6
ARG;BOG;2290,33;1903119,23;7637141251
AUS;BOG;1980;302,37;1237397,82
AUS;BOG;3080;862,4;3428117,61
AUS;BOG;6450;3753;15358514,49
AUS;BOG;34;3316,4;13201493,98
AUS;BOG;5;1168,4;4651014,82
AUS;BOG;4;1280;5095257,6
AUS;BOG;5;586,4;2334264,88
AUS;BOG;14;1360;5413711,2
AUS;BOG;965;708;2886827,52
AUS;BOG;60;111763,88;447621045,2
AUS;BOG;6;626,4;2578631,97
AUS;BOG;9;2016;8299045,44
AUS;BOG;9;2883,6;11870598,92
AUS;BOG;7;1756,8;7232025,31
AUS;BOG;7;1267,2;5216542,84
AUS;BOG;6000;2969;12038660,47
AUS;BOG;15800;5492;21767926,44
AUS;BOG;219242;32724,3;133920290,2
AUS;BOG;32360;5864,5;23835205,93
